;
;   Format of the site name database:
;
;   Column      Meaning
;
;      1        Sign of latitude, "+" if North, "-" if South
;               ";" is for comment lines
;     2-8       Latitude in decimal degrees.
;     9-11      Blank
;     12        Sign of longitude, "+" if East, "-" if West
;    13-20      Longitude in decimal degrees.
;    21-29      Blank
;    30-End     Place name.  If the first character of the place
;               name is "+", this is a "major site" which is a
;               candidate place for the "Nearest city" search.
;               Otherwise the place simply appears in the list
;               of site names available for explicit selection.
;
;   Note that the latitudes and longitudes in this database
;   are given in *decimal degrees*.  If you're adding new
;   locations from a source that gives degrees, minutes, and
;   seconds, be sure to convert to decimal degrees!
;
+39.5117   -076.1725         Aberdeen, MD
+05.3167   -004.0167         +Abidjan, Ivory Coast
+32.4872   -099.8225         Abilene, TX
+17.0000   -100.0000         +Acapulco, Mexico
+05.5500   -000.2000         +Accra, Ghana
+09.0500   +038.7000         +Addis Ababa, Ethiopia
-34.9333   +138.5833         +Adelaide, Australia
+12.4500   +045.0000         +Aden, Yemen
+23.0333   +072.5833         Ahmadabad, India
+40.9166   -081.4333         Akron, OH
+29.3333   +048.0000         +Al Kuwait, Kuwait
+37.7527   -122.2758         Alameda, CA
+32.9000   -105.9567         Alamogordo, NM
+31.5778   -084.1756         Albany, GA
+42.6503   -073.7503         +Albany, NY
+44.6170   -123.0913         Albany, OR
+35.1172   -106.6246         +Albuquerque, NM
+31.1980   +029.9191         Alexandria, Egypt
+31.2920   -092.4633         Alexandria, LA
+38.8210   -077.0862         Alexandria, VA
+36.7630   +003.0505         +Algiers, Algeria
+34.0840   -118.1345         Alhambra, CA
-23.8000   +133.8833         Alice Springs, Australia
+33.0066   -081.4031         Allendale, SC
+40.5963   -075.4777         Allentown, PA
+47.1666   +002.2333         Allouis, France
+31.5434   -082.4762         Alma, GA
+43.2500   +076.9500         Alma-Ata, Kazakhstan
+40.5079   -078.4013         Altoona, PA
+35.2200   -101.7170         Amarillo, TX
+42.0317   -093.6167         +Ames, IA
+31.9500   +035.9500         +Amman, Jordan
+52.3833   +004.9167         +Amsterdam, Netherlands
+46.1283   -112.9533         Anaconda, MT
+33.8350   -117.9133         Anaheim, CA
+61.1667   -149.9833         +Anchorage, AK
+40.1000   -085.6160         Anderson, IN
+34.5100   -082.6550         Anderson, SC
+42.5000   +001.5000         Andorra, Andorra
-12.1500   +044.2500         +Anjouan Island
+39.9500   +032.8833         +Ankara, Turkey
+42.2754   -083.3708         Ann Arbor, MI
+38.9733   -076.4950         Annapolis, MD
-18.9160   +047.5166         +Antananarivo, Madagascar
+17.0500   -061.8000         +Antigua Island
+51.1300   +004.2400         Antwerp, Belgium
+44.2500   -088.3833         Appleton, WI
